run_id,model,model_label,scope,metric,value,n_occurrences,n_subjects
20260528_009,Static,Standard,pooled,centroid_cosine_distance,0.10440200567245483,90,10
20260528_009,Static,Standard,pooled,semantic_axis_auroc,0.6307043650793651,90,10
20260528_009,Static,Standard,subject_mean,silhouette_cosine,0.012924978137016296,90,10
20260528_009,Static,Standard,subject_mean,centroid_cosine_distance,0.11790580153465272,90,10
20260528_009,Static,Standard,subject_mean,semantic_axis_auroc,0.6583333333333334,90,10
20260528_009,Additive,Additive,pooled,silhouette_cosine,0.04194905608892441,90,10
20260528_009,Additive,Additive,pooled,centroid_cosine_distance,0.12256789207458496,90,10
20260528_009,Additive,Additive,pooled,semantic_axis_auroc,0.7837301587301586,90,10
20260528_009,Additive,Additive,subject_mean,silhouette_cosine,-0.05953242164105177,90,10
20260528_009,Additive,Additive,subject_mean,centroid_cosine_distance,0.17177658081054686,90,10
20260528_009,Additive,Additive,subject_mean,semantic_axis_auroc,0.788888888888889,90,10
20260528_009,Joint,Token-Time,pooled,silhouette_cosine,0.04585893824696541,90,10
20260528_009,Joint,Token-Time,pooled,centroid_cosine_distance,0.1331878900527954,90,10
20260528_009,Joint,Token-Time,pooled,semantic_axis_auroc,0.7748015873015872,90,10
20260528_009,Joint,Token-Time,subject_mean,silhouette_cosine,-0.053610160411335525,90,10
20260528_009,Joint,Token-Time,subject_mean,centroid_cosine_distance,0.18273089528083802,90,10
20260528_009,Joint,Token-Time,subject_mean,semantic_axis_auroc,0.7611111111111112,90,10
20260528_009,Timeformer,Memory-Augmented,pooled,silhouette_cosine,0.010214846581220627,90,10
20260528_009,Timeformer,Memory-Augmented,pooled,centroid_cosine_distance,0.04285389184951782,90,10
20260528_009,Timeformer,Memory-Augmented,pooled,semantic_axis_auroc,0.6602182539682541,90,10
20260528_009,Timeformer,Memory-Augmented,subject_mean,silhouette_cosine,-0.09428153736516834,90,10
20260528_009,Timeformer,Memory-Augmented,subject_mean,centroid_cosine_distance,0.1077491283416748,90,10
20260528_009,Timeformer,Memory-Augmented,subject_mean,semantic_axis_auroc,0.6722222222222223,90,10
20260528_010,Static,Standard,pooled,silhouette_cosine,0.06448711454868317,90,10
20260528_010,Static,Standard,pooled,centroid_cosine_distance,0.006409645080566406,90,10
20260528_010,Static,Standard,pooled,semantic_axis_auroc,0.6996527777777779,90,10
20260528_010,Static,Standard,subject_mean,silhouette_cosine,0.060703765135258436,90,10
20260528_010,Static,Standard,subject_mean,centroid_cosine_distance,0.0064898252487182615,90,10
20260528_010,Static,Standard,subject_mean,semantic_axis_auroc,0.7305555555555556,90,10
20260528_010,Additive,Additive,pooled,silhouette_cosine,0.024467187002301216,90,10
20260528_010,Additive,Additive,pooled,centroid_cosine_distance,0.05776059627532959,90,10
20260528_010,Additive,Additive,pooled,semantic_axis_auroc,0.7514880952380951,90,10
20260528_010,Additive,Additive,subject_mean,silhouette_cosine,-0.050607208535075186,90,10
20260528_010,Additive,Additive,subject_mean,centroid_cosine_distance,0.17731316685676574,90,10
20260528_010,Additive,Additive,subject_mean,semantic_axis_auroc,0.7777777777777779,90,10
20260528_010,Joint,Token-Time,pooled,silhouette_cosine,0.03244472295045853,90,10
20260528_010,Joint,Token-Time,pooled,centroid_cosine_distance,0.12478280067443848,90,10
20260528_010,Joint,Token-Time,pooled,semantic_axis_auroc,0.7524801587301587,90,10
20260528_010,Joint,Token-Time,subject_mean,silhouette_cosine,-0.06336950156837702,90,10
20260528_010,Joint,Token-Time,subject_mean,centroid_cosine_distance,0.19839975833892823,90,10
20260528_010,Joint,Token-Time,subject_mean,semantic_axis_auroc,0.7444444444444445,90,10
20260528_010,Timeformer,Memory-Augmented,pooled,silhouette_cosine,0.022258343175053596,90,10
20260528_010,Timeformer,Memory-Augmented,pooled,centroid_cosine_distance,0.10627853870391846,90,10
20260528_010,Timeformer,Memory-Augmented,pooled,semantic_axis_auroc,0.5575396825396824,90,10
20260528_010,Timeformer,Memory-Augmented,subject_mean,silhouette_cosine,-0.04828339414671064,90,10
20260528_010,Timeformer,Memory-Augmented,subject_mean,centroid_cosine_distance,0.22800348699092865,90,10
20260528_010,Timeformer,Memory-Augmented,subject_mean,semantic_axis_auroc,0.6611111111111111,90,10
20260528_011,Static,Standard,pooled,silhouette_cosine,0.17390112578868866,90,10
20260528_011,Static,Standard,pooled,centroid_cosine_distance,0.2670971751213074,90,10
20260528_011,Static,Standard,pooled,semantic_axis_auroc,0.7447916666666667,90,10
20260528_011,Static,Standard,subject_mean,silhouette_cosine,0.11364528387784958,90,10
20260528_011,Static,Standard,subject_mean,centroid_cosine_distance,0.133305561542511,90,10
20260528_011,Static,Standard,subject_mean,semantic_axis_auroc,0.7083333333333334,90,10
20260528_011,Additive,Additive,pooled,silhouette_cosine,0.05366187542676926,90,10
20260528_011,Additive,Additive,pooled,centroid_cosine_distance,0.15356367826461792,90,10
20260528_011,Additive,Additive,pooled,semantic_axis_auroc,0.7733134920634921,90,10
20260528_011,Additive,Additive,subject_mean,silhouette_cosine,-0.03489782083779573,90,10
20260528_011,Additive,Additive,subject_mean,centroid_cosine_distance,0.24166934490203856,90,10
20260528_011,Additive,Additive,subject_mean,semantic_axis_auroc,0.7444444444444445,90,10
20260528_011,Joint,Token-Time,pooled,silhouette_cosine,0.06335756927728653,90,10
20260528_011,Joint,Token-Time,pooled,centroid_cosine_distance,0.17164695262908936,90,10
20260528_011,Joint,Token-Time,pooled,semantic_axis_auroc,0.7881944444444444,90,10
20260528_011,Joint,Token-Time,subject_mean,silhouette_cosine,-0.03190044090151787,90,10
20260528_011,Joint,Token-Time,subject_mean,centroid_cosine_distance,0.24445961117744447,90,10
20260528_011,Joint,Token-Time,subject_mean,semantic_axis_auroc,0.8000000000000002,90,10
20260528_011,Timeformer,Memory-Augmented,pooled,silhouette_cosine,0.02126462571322918,90,10
20260528_011,Timeformer,Memory-Augmented,pooled,centroid_cosine_distance,0.05833017826080322,90,10
20260528_011,Timeformer,Memory-Augmented,pooled,semantic_axis_auroc,0.685515873015873,90,10
20260528_011,Timeformer,Memory-Augmented,subject_mean,silhouette_cosine,-0.06866334769874811,90,10
20260528_011,Timeformer,Memory-Augmented,subject_mean,centroid_cosine_distance,0.16608573794364928,90,10
20260528_011,Timeformer,Memory-Augmented,subject_mean,semantic_axis_auroc,0.7222222222222222,90,10
20260528_012,Static,Standard,pooled,silhouette_cosine,0.025919366627931595,90,10
20260528_012,Static,Standard,pooled,centroid_cosine_distance,0.03899580240249634,90,10
20260528_012,Static,Standard,pooled,semantic_axis_auroc,0.667906746031746,90,10
20260528_012,Static,Standard,subject_mean,silhouette_cosine,0.0762940660933964,90,10
20260528_012,Static,Standard,subject_mean,centroid_cosine_distance,0.051455450057983396,90,10
20260528_012,Static,Standard,subject_mean,semantic_axis_auroc,0.8138888888888889,90,10
20260528_012,Additive,Additive,pooled,silhouette_cosine,0.04378727450966835,90,10
20260528_012,Additive,Additive,pooled,centroid_cosine_distance,0.12735110521316528,90,10
20260528_012,Additive,Additive,pooled,semantic_axis_auroc,0.8134920634920635,90,10
20260528_012,Additive,Additive,subject_mean,silhouette_cosine,-0.046967785060405734,90,10
20260528_012,Additive,Additive,subject_mean,centroid_cosine_distance,0.21666140258312225,90,10
20260528_012,Additive,Additive,subject_mean,semantic_axis_auroc,0.8166666666666667,90,10
20260528_012,Joint,Token-Time,pooled,silhouette_cosine,0.022255748510360718,90,10
20260528_012,Joint,Token-Time,pooled,centroid_cosine_distance,0.15050053596496582,90,10
20260528_012,Joint,Token-Time,pooled,semantic_axis_auroc,0.7103174603174603,90,10
20260528_012,Joint,Token-Time,subject_mean,silhouette_cosine,-0.06741600648092572,90,10
20260528_012,Joint,Token-Time,subject_mean,centroid_cosine_distance,0.2717535555362701,90,10
20260528_012,Joint,Token-Time,subject_mean,semantic_axis_auroc,0.7111111111111111,90,10
20260528_012,Timeformer,Memory-Augmented,pooled,silhouette_cosine,0.03684649616479874,90,10
20260528_012,Timeformer,Memory-Augmented,pooled,centroid_cosine_distance,0.10459589958190918,90,10
20260528_012,Timeformer,Memory-Augmented,pooled,semantic_axis_auroc,0.7331349206349206,90,10
20260528_012,Timeformer,Memory-Augmented,subject_mean,silhouette_cosine,-0.04317199435317889,90,10
20260528_012,Timeformer,Memory-Augmented,subject_mean,centroid_cosine_distance,0.14934231638908385,90,10
20260528_012,Timeformer,Memory-Augmented,subject_mean,semantic_axis_auroc,0.75,90,10
20260528_013,Static,Standard,pooled,silhouette_cosine,0.0473443977534771,90,10
20260528_013,Static,Standard,pooled,centroid_cosine_distance,0.05553710460662842,90,10
20260528_013,Static,Standard,pooled,semantic_axis_auroc,0.6877480158730158,90,10
20260528_013,Static,Standard,subject_mean,silhouette_cosine,0.07606383301317692,90,10
20260528_013,Static,Standard,subject_mean,centroid_cosine_distance,0.08632906675338745,90,10
20260528_013,Static,Standard,subject_mean,semantic_axis_auroc,0.7444444444444445,90,10
20260528_013,Additive,Additive,pooled,silhouette_cosine,0.028504742309451103,90,10
20260528_013,Additive,Additive,pooled,centroid_cosine_distance,0.10025280714035034,90,10
20260528_013,Additive,Additive,pooled,semantic_axis_auroc,0.7842261904761905,90,10
20260528_013,Additive,Additive,subject_mean,silhouette_cosine,-0.057457867870107295,90,10
20260528_013,Additive,Additive,subject_mean,centroid_cosine_distance,0.1950923264026642,90,10
20260528_013,Additive,Additive,subject_mean,semantic_axis_auroc,0.7611111111111111,90,10
20260528_013,Joint,Token-Time,pooled,silhouette_cosine,0.04173441231250763,90,10
20260528_013,Joint,Token-Time,pooled,centroid_cosine_distance,0.17290335893630981,90,10
20260528_013,Joint,Token-Time,pooled,semantic_axis_auroc,0.7410714285714286,90,10
20260528_013,Joint,Token-Time,subject_mean,silhouette_cosine,-0.008007203601300717,90,10
20260528_013,Joint,Token-Time,subject_mean,centroid_cosine_distance,0.2678635507822037,90,10
20260528_013,Joint,Token-Time,subject_mean,semantic_axis_auroc,0.7611111111111112,90,10
20260528_013,Timeformer,Memory-Augmented,pooled,silhouette_cosine,0.021048428490757942,90,10
20260528_013,Timeformer,Memory-Augmented,pooled,centroid_cosine_distance,0.09712100028991699,90,10
20260528_013,Timeformer,Memory-Augmented,pooled,semantic_axis_auroc,0.6587301587301587,90,10
20260528_013,Timeformer,Memory-Augmented,subject_mean,silhouette_cosine,-0.010111362673342228,90,10
20260528_013,Timeformer,Memory-Augmented,subject_mean,centroid_cosine_distance,0.15143290758132935,90,10
20260528_013,Timeformer,Memory-Augmented,subject_mean,semantic_axis_auroc,0.7166666666666668,90,10
20260528_014,Static,Standard,pooled,silhouette_cosine,0.02518777921795845,90,10
20260528_014,Static,Standard,pooled,centroid_cosine_distance,0.026143133640289307,90,10
20260528_014,Static,Standard,pooled,semantic_axis_auroc,0.6178075396825397,90,10
20260528_014,Static,Standard,subject_mean,silhouette_cosine,-0.04151820689439774,90,10
20260528_014,Static,Standard,subject_mean,centroid_cosine_distance,0.007179731130599975,90,10
20260528_014,Static,Standard,subject_mean,semantic_axis_auroc,0.675,90,10
20260528_014,Additive,Additive,pooled,silhouette_cosine,0.023425955325365067,90,10
20260528_014,Additive,Additive,pooled,centroid_cosine_distance,0.12432354688644409,90,10
20260528_014,Additive,Additive,pooled,semantic_axis_auroc,0.7445436507936508,90,10
20260528_014,Additive,Additive,subject_mean,silhouette_cosine,-0.047369786677882074,90,10
20260528_014,Additive,Additive,subject_mean,centroid_cosine_distance,0.26133647561073303,90,10
20260528_014,Additive,Additive,subject_mean,semantic_axis_auroc,0.7777777777777779,90,10
20260528_014,Joint,Token-Time,pooled,silhouette_cosine,0.020099075511097908,90,10
20260528_014,Joint,Token-Time,pooled,centroid_cosine_distance,0.06830590963363647,90,10
20260528_014,Joint,Token-Time,pooled,semantic_axis_auroc,0.6974206349206349,90,10
20260528_014,Joint,Token-Time,subject_mean,silhouette_cosine,-0.06161018596030772,90,10
20260528_014,Joint,Token-Time,subject_mean,centroid_cosine_distance,0.1845560371875763,90,10
20260528_014,Joint,Token-Time,subject_mean,semantic_axis_auroc,0.7777777777777777,90,10
20260528_014,Timeformer,Memory-Augmented,pooled,silhouette_cosine,0.03516293317079544,90,10
20260528_014,Timeformer,Memory-Augmented,pooled,centroid_cosine_distance,0.1349959373474121,90,10
20260528_014,Timeformer,Memory-Augmented,pooled,semantic_axis_auroc,0.7579365079365079,90,10
20260528_014,Timeformer,Memory-Augmented,subject_mean,silhouette_cosine,-0.06478562321572098,90,10
20260528_014,Timeformer,Memory-Augmented,subject_mean,centroid_cosine_distance,0.20915808379650117,90,10
20260528_014,Timeformer,Memory-Augmented,subject_mean,semantic_axis_auroc,0.7444444444444445,90,10
