run_id,layer,head,metric,value
20260528_018,-1,-1,baseline_cka,0.94785393101577
20260528_018,0,0,cka_ablated,0.7842898886416466
20260528_018,0,0,cka_delta_vs_baseline,-0.16356404237412336
20260528_018,0,1,cka_ablated,0.9461525521075427
20260528_018,0,1,cka_delta_vs_baseline,-0.0017013789082273023
20260528_018,0,2,cka_ablated,0.9513897415306838
20260528_018,0,2,cka_delta_vs_baseline,0.0035358105149138064
20260528_018,0,3,cka_ablated,0.9463283505359722
20260528_018,0,3,cka_delta_vs_baseline,-0.0015255804797977834
20260528_018,1,0,cka_ablated,0.9330353206963488
20260528_018,1,0,cka_delta_vs_baseline,-0.014818610319421222
20260528_018,1,1,cka_ablated,0.9414459809866923
20260528_018,1,1,cka_delta_vs_baseline,-0.00640795002907768
20260528_018,1,2,cka_ablated,0.9384451619045281
20260528_018,1,2,cka_delta_vs_baseline,-0.009408769111241888
20260528_018,1,3,cka_ablated,0.9479495951259268
20260528_018,1,3,cka_delta_vs_baseline,9.566411015682341e-05
20260528_019,-1,-1,baseline_cka,0.8387624624591303
20260528_019,0,0,cka_ablated,0.8396234687273764
20260528_019,0,0,cka_delta_vs_baseline,0.000861006268246034
20260528_019,0,1,cka_ablated,0.7729127719785468
20260528_019,0,1,cka_delta_vs_baseline,-0.06584969048058353
20260528_019,0,2,cka_ablated,0.8531269990998794
20260528_019,0,2,cka_delta_vs_baseline,0.014364536640749104
20260528_019,0,3,cka_ablated,0.8665794986539785
20260528_019,0,3,cka_delta_vs_baseline,0.02781703619484821
20260528_019,1,0,cka_ablated,0.8176460728983415
20260528_019,1,0,cka_delta_vs_baseline,-0.021116389560788873
20260528_019,1,1,cka_ablated,0.8070756391114469
20260528_019,1,1,cka_delta_vs_baseline,-0.03168682334768347
20260528_019,1,2,cka_ablated,0.8128849302841712
20260528_019,1,2,cka_delta_vs_baseline,-0.02587753217495914
20260528_019,1,3,cka_ablated,0.8149860335223433
20260528_019,1,3,cka_delta_vs_baseline,-0.023776428936786997
20260528_020,-1,-1,baseline_cka,0.9448357376175094
20260528_020,0,0,cka_ablated,0.9652649626218556
20260528_020,0,0,cka_delta_vs_baseline,0.020429225004346185
20260528_020,0,1,cka_ablated,0.8174506711860827
20260528_020,0,1,cka_delta_vs_baseline,-0.12738506643142666
20260528_020,0,2,cka_ablated,0.9567437073816807
20260528_020,0,2,cka_delta_vs_baseline,0.0119079697641713
20260528_020,0,3,cka_ablated,0.9398729947850382
20260528_020,0,3,cka_delta_vs_baseline,-0.004962742832471223
20260528_020,1,0,cka_ablated,0.9391403675213839
20260528_020,1,0,cka_delta_vs_baseline,-0.005695370096125529
20260528_020,1,1,cka_ablated,0.9429807990653485
20260528_020,1,1,cka_delta_vs_baseline,-0.0018549385521609008
20260528_020,1,2,cka_ablated,0.942602325640132
20260528_020,1,2,cka_delta_vs_baseline,-0.002233411977377364
