model,model_label,layer,head,metric,n,mean,sd,ci95_low,ci95_high
Joint,Token-Time,1,0,object_mass_period_variance,31,0.0009694783551758935,0.0016586438200852664,0.0003855919556238279,0.0015533647547279592
Joint,Token-Time,1,0,verb_mass_period_variance,31,0.0008549301805217089,0.0020589462349456604,0.00013012676616846824,0.0015797335948749495
Joint,Token-Time,1,1,context_mass_period_variance,31,0.0004265843575436626,0.0006658288125604765,0.00019219504298667817,0.0006609736721006471
Joint,Token-Time,1,1,entropy_period_variance,31,0.0012888498531501054,0.0019565746105648157,0.0006000839523680153,0.0019776157539321956
Joint,Token-Time,1,1,object_mass_period_variance,31,0.0006493540100152217,0.001297291624462835,0.0001926731201194539,0.0011060348999109896
Joint,Token-Time,1,1,verb_mass_period_variance,31,0.0005635533979430802,0.0009884708402994934,0.0002155855744624453,0.0009115212214237152
Joint,Token-Time,1,2,context_mass_period_variance,31,0.00045539208696586424,0.00042902921738789115,0.00030436247951802866,0.0006064216944136998
Joint,Token-Time,1,2,entropy_period_variance,31,0.0017088525324588804,0.0020123742575981914,0.0010004436832582934,0.0024172613816594675
Joint,Token-Time,1,2,object_mass_period_variance,31,0.0008723968614389619,0.00134346563916782,0.0003994614997437141,0.0013453322231342098
Joint,Token-Time,1,2,verb_mass_period_variance,31,0.0005532808575571817,0.0005796871939958158,0.0003492156661821843,0.0007573460489321792
Joint,Token-Time,1,3,context_mass_period_variance,31,0.0005564565807651483,0.001183193439357701,0.0001399412633025489,0.0009729718982277477
Joint,Token-Time,1,3,entropy_period_variance,31,0.0020835455253250166,0.004680482522853673,0.00043589215011459286,0.0037311989005354403
Joint,Token-Time,1,3,object_mass_period_variance,31,0.00044958588625401,0.0006205649360981897,0.00023113065081473242,0.0006680411216932877
Joint,Token-Time,1,3,verb_mass_period_variance,31,0.0009311337253744764,0.002158136425003042,0.00017141274629627133,0.0016908547044526814
